name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Mask Off,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062
Suge,0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445
Location,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126
Make It Right (feat. Lauv),0.584,0.685,7,-7.811,1,0.425,0.0304,0,0.189,0.345,97.551
Potato Salad,0.538,0.612,2,-6.02,1,0.424,0.308,0,0.213,0.684,168.197
Pure Cocaine,0.964,0.487,10,-6.071,0,0.421,0.00127,6.57E-06,0.115,0.107,127.05
Hot N*gga,0.794,0.51,9,-7.314,1,0.42,0.0505,1.81E-06,0.0562,0.18,167.879
Mercury: Retrograde,0.831,0.814,2,-7.364,1,0.42,0.0598,0.0134,0.0556,0.389,156.985
First Day Out,0.587,0.711,1,-6.33,1,0.42,0.171,0,0.125,0.381,98.008
Shotta Flow (Feat. Blueface) [Remix],0.894,0.511,2,-4.768,1,0.42,0.0251,0,0.14,0.568,120.08
Blue World,0.742,0.553,8,-8.98,1,0.419,0.389,0,0.0694,0.508,84.931
Follow God,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21E-05,0.0426,0.434,180.291
Unbothered,0.884,0.445,1,-10.58,0,0.418,0.222,0,0.112,0.851,125.008
GOSHA,0.847,0.448,0,-10.14,1,0.416,0.81,1.35E-05,0.325,0.488,79.975
GNF (OKOKOK),0.753,0.659,8,-9.671,1,0.416,0.659,0,0.098,0.459,146.022
Cash Shit (feat. DaBaby),0.921,0.635,1,-4.904,1,0.416,0.0218,0,0.0946,0.549,130.028
My Shot,0.698,0.649,8,-6.764,1,0.415,0.15,0,0.0903,0.568,180.466
Ultralight Beam,0.592,0.403,0,-8.768,0,0.414,0.62,0,0.54,0.391,105.169
FEFE,0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978
Just A Lil Bit,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946
Survivor,0.514,0.911,1,-2.027,0,0.41,0.0559,0,0.775,0.619,161.109
Mambo No. 5 (a Little Bit of...),0.622,0.807,5,-6.752,0,0.408,0.103,0,0.306,0.892,174.06
Mercy,0.563,0.496,6,-9.381,0,0.406,0.0685,5.80E-05,0.173,0.426,139.993
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",0.65,0.655,1,-3.71,0,0.405,0.25,0,0.0691,0.735,94.059
Whole Lotta Love - 1990 Remaster,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74
CLOUDS,0.788,0.652,1,-3.931,1,0.405,0.373,0,0.755,0.812,128.108
Hold Up,0.524,0.397,0,-11.936,1,0.405,0.745,0,0.521,0.552,80.744
Olvídate,0.564,0.428,0,-10.076,0,0.403,0.0722,3.52E-06,0.0979,0.542,79.541
CANCIÓN CON YANDEL,0.75,0.741,9,-4.43,1,0.402,0.447,0,0.121,0.495,79.968
Time Today,0.909,0.617,1,-7.736,1,0.401,0.044,0,0.233,0.301,136.924
Camelot,0.787,0.713,7,-5.252,1,0.401,0.0849,0,0.717,0.761,175.046
Falling for U,0.719,0.36,6,-12.034,1,0.398,0.748,2.18E-06,0.0812,0.409,80.184
Homicide (feat. Eminem),0.694,0.759,10,-5.667,0,0.398,0.137,0,0.167,0.77,140.055
CLOUDS,0.793,0.65,1,-3.944,1,0.397,0.371,0,0.854,0.809,128.111
X (feat. Future),0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004
Yacht Club (feat. Juice WRLD),0.721,0.508,7,-7.496,1,0.394,0.317,0,0.153,0.457,159.911
Hard For The Next (with Future),0.619,0.573,1,-7.277,1,0.393,0.0352,0,0.228,0.376,175.187
On Me,0.856,0.564,6,-6.295,0,0.392,0.00327,0,0.134,0.483,77.972
Empire State Of Mind,0.491,0.956,11,-1.538,1,0.392,0.0295,0,0.46,0.811,173.585
Body,0.889,0.705,11,-8.683,0,0.392,0.389,1.04E-05,0.0692,0.815,141.069
Big Gangsta,0.879,0.574,10,-5.602,0,0.391,0.519,8.76E-06,0.144,0.346,144.911
0 To 100 / The Catch Up,0.559,0.716,11,-3.964,0,0.39,0.737,0,0.252,0.504,176.618
Hawái,0.787,0.728,6,-3.455,0,0.389,0.189,2.29E-05,0.0629,0.545,180.066
Hawái,0.783,0.727,6,-3.454,0,0.389,0.185,2.46E-05,0.0626,0.558,180.067
DRIFTING,0.692,0.721,9,-3.244,0,0.389,0.405,0,0.0773,0.496,168.084
Angst,0.599,0.79,9,-4.352,0,0.386,0.0213,5.87E-05,0.0778,0.528,100.119
Back In Blood (feat. Lil Durk),0.759,0.538,8,-8.256,0,0.384,0.151,0,0.126,0.831,146.933
Back In Blood (feat. Lil Durk),0.759,0.538,8,-8.256,0,0.384,0.151,0,0.126,0.831,146.933
Barn av vår tid,0.538,0.674,5,-4.555,1,0.384,0.733,0,0.111,0.852,180.215
No Heart,0.906,0.444,4,-8.692,0,0.384,0.136,6.44E-05,0.173,0.678,140.063
Go To Sleep,0.571,0.861,7,-2.696,1,0.383,0.00172,0,0.317,0.372,179.815
Trophies,0.746,0.687,1,-7.475,1,0.382,0.155,0,0.137,0.283,143.931
Crazy Rap (Colt 45 & 2 Zig Zags),0.927,0.367,9,-7.797,1,0.382,0.325,0,0.132,0.576,99.053
Irreplaceable,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46E-06,0.167,0.509,175.868
Cuaderno,0.681,0.648,1,-5.021,0,0.38,0.523,0,0.104,0.688,172.02
Safaera,0.607,0.829,2,-4.074,1,0.379,0.0103,0,0.107,0.685,96.172
What They Want,0.71,0.404,1,-10.04,0,0.379,0.484,0,0.0953,0.398,139.553
Zoo York (feat. Fivio Foreign & Pop Smoke),0.565,0.569,6,-6.084,0,0.379,0.0352,8.81E-06,0.106,0.303,92.466
BIG PURR (Prrdd) (feat. Pooh Shiesty),0.774,0.412,1,-8.619,1,0.378,0.026,0,0.088,0.38,139.943
WAP (feat. Megan Thee Stallion),0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073
bad guy,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128
Best I Ever Had,0.395,0.922,1,-2.176,1,0.375,0.19,0,0.134,0.558,162.361
Call on Me - Radio Mix,0.597,0.837,10,-6.518,1,0.375,0.00427,0.00115,0.839,0.447,126.342
Close Friends (Lil Baby & Gunna),0.676,0.578,10,-4.669,0,0.375,0.0509,0,0.0796,0.698,158.896
These Days,0.815,0.364,2,-11.158,1,0.375,0.533,3.52E-05,0.108,0.328,129.937
Beat Box 3 (feat. DaBaby),0.853,0.426,1,-6.812,1,0.374,0.0765,0,0.104,0.201,160.051
Lost In Japan,0.713,0.738,10,-6.784,1,0.374,0.255,0,0.106,0.425,105.027
Chun-Li,0.686,0.73,6,-5.077,0,0.374,0.278,4.76E-05,0.106,0.474,128.943
C.R.E.A.M.,0.479,0.549,11,-10.551,0,0.373,0.57,0.0239,0.127,0.576,180.985
CYANIDE,0.589,0.652,10,-7.498,1,0.373,0.704,0.00055,0.125,0.486,158.49
all the good girls go to hell,0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044
Hellcats & Trackhawks,0.841,0.672,1,-5.557,0,0.371,0.0122,0,0.321,0.599,157.026
BOOKER T,0.883,0.6,7,-7.188,1,0.37,0.114,7.94E-06,0.0931,0.691,113.903
Cradles,0.581,0.585,1,-1.87,1,0.369,0.27,6.48E-05,0.179,0.63,67.443
Under The Sun (with J. Cole & Lute feat. DaBaby),0.691,0.64,0,-6.441,1,0.369,0.511,0,0.409,0.163,138.672
Mood Swings (feat. Lil Tjay),0.48,0.602,10,-6.335,0,0.368,0.487,0,0.0848,0.269,179.798
Adderall (Corvette Corvette),0.913,0.391,4,-11.158,0,0.368,0.272,0,0.0666,0.713,141.05
Hasta Abajo,0.702,0.669,5,-5.103,1,0.368,0.284,0,0.33,0.638,169.914
BOP,0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77
Wenn sie ruft,0.774,0.707,8,-6.902,0,0.367,0.234,0,0.134,0.82,160.041
Killshot,0.893,0.651,0,-8.647,0,0.367,0.0995,0,0.371,0.6,105.835
Kevin’s Heart,0.829,0.527,6,-6.644,0,0.367,0.482,0,0.631,0.475,116.079
In Da Club,0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051
Verte,0.773,0.668,4,-4.254,0,0.366,0.374,0,0.0763,0.741,150.043
Baby (Lil Baby feat. DaBaby),0.97,0.463,10,-7.259,1,0.366,0.0957,0,0.151,0.46,108.003
A92 x Fumez The Engineer - Plugged In Freestyle,0.856,0.427,2,-13.297,1,0.365,0.0958,0,0.1,0.774,144.118
3 Headed Goat (feat. Lil Baby & Polo G),0.837,0.482,8,-8.608,0,0.365,0.268,0,0.0991,0.444,143.01
Ice Cream (with Selena Gomez),0.79,0.701,9,-4.81,1,0.365,0.0317,8.06E-05,0.0311,0.91,159.972
Wet Dreamz,0.517,0.705,6,-8.205,0,0.364,0.0751,0,0.128,0.584,175.906
Finer Things,0.506,0.45,2,-12.565,1,0.364,0.0683,0.000225,0.103,0.131,177.978
Disco Arranhado - Funk Remix,0.747,0.725,2,-2.564,0,0.363,0.551,0,0.0626,0.904,129.96
Como Si Nada,0.759,0.576,11,-5.761,0,0.363,0.405,1.03E-05,0.129,0.732,178.173
Hasta Abajo,0.714,0.671,5,-5.119,1,0.362,0.289,0,0.325,0.641,169.732
Costa Rica (feat. The Kid LAROI) - Remix,0.89,0.53,9,-9.891,1,0.362,0.165,0,0.106,0.644,127.889
I Got 5 On It,0.6,0.706,10,-7.899,0,0.361,0.209,0,0.125,0.58,173.926
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),0.815,0.514,6,-9.446,0,0.361,0.54,0,0.611,0.623,120.054
Holy (feat. Chance The Rapper),0.673,0.704,6,-8.056,1,0.36,0.196,0,0.0898,0.372,86.919
Pretty Little Fears (feat. J. Cole),0.61,0.458,9,-11.336,1,0.36,0.696,0.000103,0.0852,0.246,192.099
GOODMORNINGTOKYO!,0.907,0.539,4,-7.782,1,0.36,0.0408,0,0.253,0.664,124.918
Fukk Sleep (feat. FKA twigs),0.798,0.412,2,-9.305,1,0.36,0.443,7.43E-05,0.219,0.304,135.959
Cry Baby (feat. DaBaby),0.957,0.437,11,-7.882,1,0.359,0.00402,0,0.219,0.616,130.058
Roxanne,0.618,0.748,0,-8.905,1,0.358,0.0384,4.10E-06,0.0473,0.663,134.114
DNA.,0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913
Day in the Life,0.905,0.571,2,-7.979,1,0.357,0.228,0,0.113,0.757,144.892
Still Trappin' (with King Von),0.877,0.677,5,-4.969,0,0.356,0.0439,0,0.0986,0.627,144.941
The Motto,0.766,0.442,1,-8.558,1,0.356,0.000107,6.12E-05,0.111,0.39,201.8
Neighbors,0.898,0.283,6,-12.335,0,0.356,0.319,0.000383,0.11,0.469,138.97
Hylander,0.903,0.642,1,-7.307,1,0.356,0.0692,0,0.0975,0.651,131.96
Where The Hood At,0.537,0.948,8,-3.063,1,0.355,0.151,0,0.356,0.792,186.151
my strange addiction,0.939,0.305,8,-10.952,0,0.354,0.35,0.000169,0.105,0.563,100.029
23 Island,0.804,0.383,7,-10.984,1,0.354,0.563,0,0.238,0.455,118.009
What You Know Bout Love,0.709,0.548,10,-8.493,1,0.353,0.65,1.59E-06,0.133,0.543,83.995
Me and My Guitar,0.644,0.587,7,-6.736,0,0.353,0.473,0,0.0759,0.68,173.972
Girls in the Hood,0.821,0.863,6,-3.159,1,0.353,0.00824,0,0.0377,0.874,180.013
Said Sum,0.929,0.667,8,-6.789,0,0.353,0.0185,0,0.1,0.274,126.998
Verpennt,0.727,0.664,7,-7.26,1,0.352,0.22,0,0.127,0.558,90.32
Dior,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094
Bank Account,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04E-06,0.0871,0.376,75.016
Las Nenas (feat. La Duraca),0.775,0.847,8,-4.602,0,0.351,0.143,0,0.107,0.806,104.817
Some Way,0.744,0.715,0,-6.103,1,0.351,0.101,0,0.0919,0.34,154.962
Holy (feat. Chance The Rapper),0.67,0.693,6,-8.34,1,0.35,0.2,0,0.0909,0.388,87.017
Ice Cream (with Selena Gomez),0.791,0.733,9,-3.852,1,0.35,0.0305,0.000169,0.0423,0.913,159.974
Beat Box,0.762,0.542,1,-6.251,1,0.35,0.195,0,0.125,0.201,159.954
Ohne Dich,0.807,0.535,11,-6.519,0,0.349,0.191,0,0.125,0.925,156.013
PRACTICE,0.849,0.536,1,-7.307,1,0.349,0.0239,0,0.126,0.308,141.964
All The Time,0.675,0.44,9,-9.298,0,0.349,0.545,6.24E-06,0.197,0.0338,109.823
Gold Digger,0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034
Chicago Freestyle (feat. Giveon),0.735,0.449,10,-7.507,1,0.347,0.629,0,0.113,0.0397,122.947
Party Up,0.51,0.931,11,-3.302,1,0.347,0.0738,0,0.5,0.53,201.936
In Da Club,0.902,0.72,6,-2.776,0,0.347,0.26,0,0.0749,0.805,90.059
P.I.M.P.,0.712,0.772,10,-3.024,0,0.346,0.0521,4.35E-06,0.0368,0.848,84.722
Good Life,0.439,0.808,1,-6.881,1,0.346,0.00305,0,0.439,0.487,82.962
Detente,0.736,0.585,7,-4.617,1,0.346,0.273,0,0.106,0.363,171.932
BLIND (feat. Young Thug),0.709,0.679,11,-6.503,0,0.346,0.0115,0,0.0971,0.754,162.973
Lemon Pepper Freestyle (feat. Rick Ross),0.77,0.637,1,-5.53,1,0.345,0.103,0,0.171,0.431,94.966
"FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX",0.859,0.77,8,-5.358,0,0.345,0.0056,0,0.0731,0.348,155.025
Only Fans - Remix,0.722,0.745,1,-5.559,0,0.345,0.422,0,0.191,0.818,163.012
GATTI,0.594,0.676,2,-5.808,1,0.344,0.135,0,0.163,0.472,143.477
Rake It Up (feat. Nicki Minaj),0.91,0.444,1,-8.126,0,0.344,0.022,0,0.137,0.53,149.953
Bandit (with YoungBoy Never Broke Again),0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051
I'm Upset,0.899,0.586,11,-7.866,0,0.343,0.279,0,0.0836,0.492,150.002
Godzilla (feat. Juice WRLD),0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995
Drankin N Smokin,0.752,0.658,0,-6.297,1,0.342,0.0421,0,0.0927,0.387,151.951
I Dunno (feat. Dutchavelli & Stormzy),0.821,0.666,1,-7.237,1,0.342,0.0954,0,0.319,0.739,145.066
No Brainer,0.552,0.76,0,-4.706,1,0.342,0.0733,0,0.0865,0.639,135.702
Treat You Better,0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695
TOES (feat. Lil Baby & Moneybagg Yo),0.816,0.582,8,-4.141,1,0.341,0.0794,5.84E-06,0.0916,0.542,160.004
Otro Trago,0.746,0.7,0,-4.669,1,0.341,0.136,0.000159,0.11,0.619,176.044
Slide,0.827,0.469,10,-9.141,0,0.341,0.0807,8.12E-06,0.207,0.196,97.028
GOOBA,0.611,0.688,1,-5.688,1,0.341,0.0264,0,0.251,0.393,178.462
#NAME?,0.66,0.503,9,-5.501,1,0.34,0.131,0,0.13,0.396,175.896
Chosen 1,0.77,0.576,8,-11.845,0,0.339,0.138,0,0.08,0.364,166.162
The Take (feat. Chris Brown),0.464,0.547,7,-8.137,0,0.339,0.0511,0,0.155,0.423,67.003
"No Suburban, Pt. 2",0.85,0.458,8,-7.82,1,0.339,0.476,0,0.26,0.616,143.973
Loading,0.85,0.68,3,-6.18,0,0.338,0.732,0,0.0964,0.694,144.006
The Code (feat. Polo G),0.831,0.62,6,-8.397,0,0.338,0.0582,0,0.119,0.568,133.17
Invincible,0.548,0.732,11,-5.652,0,0.336,0.125,0,0.269,0.612,142.791
Adan y Eva,0.767,0.709,1,-4.47,1,0.336,0.323,0,0.0676,0.72,171.993
Faucet Failure,0.935,0.552,10,-9.373,0,0.335,0.111,0,0.0952,0.615,99.993
Pesetas,0.772,0.659,11,-5.218,0,0.335,0.0785,0,0.0834,0.536,147.149
7 rings,0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048
Savage,0.843,0.741,11,-5.609,1,0.334,0.0252,0,0.096,0.68,168.983
Ice Cream (with Selena Gomez),0.79,0.729,9,-3.843,1,0.334,0.0342,9.31E-05,0.0411,0.904,159.989
The Bigger Picture,0.59,0.618,1,-5.756,1,0.334,0.0127,0,0.244,0.153,96.459
Start Wit Me (feat. Gunna),0.886,0.479,4,-8.054,0,0.334,0.077,0,0.135,0.408,130.029
Am,0.83,0.517,6,-6.416,0,0.333,0.399,8.95E-05,0.0916,0.616,171.959
Si Me Dices Que Sí,0.578,0.634,8,-5.979,0,0.333,0.00473,0,0.132,0.216,183.89
Make No Sense,0.876,0.733,10,-4.478,0,0.333,0.0208,0,0.0999,0.962,154.904
bury a friend,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046
CAN'T GET OVER YOU (feat. Clams Casino),0.9,0.316,9,-8.797,1,0.332,0.684,0.0771,0.0853,0.844,129.914
Mis Ojos Lloran Por Ti,0.794,0.831,8,-9.235,1,0.331,0.0135,1.12E-06,0.11,0.328,172.407
Bonfire,0.506,0.745,8,-6.044,1,0.331,0.0594,0,0.341,0.311,161.808
BBIBBI,0.839,0.617,7,-4.692,1,0.331,0.241,0,0.3,0.821,143.894
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0.745,0.346,1,-7.709,1,0.331,0.00552,0,0.0881,0.112,203.911
No Role Modelz,0.692,0.521,10,-8.465,0,0.33,0.301,0,0.0565,0.463,100.45
TRUST,0.746,0.884,10,-3.348,0,0.33,0.138,0,0.146,0.664,140.1
I Love It (& Lil Pump),0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053
ROLLIN N CONTROLLIN FREESTYLE,0.69,0.514,8,-11.81,0,0.328,0.0975,0.497,0.346,0.307,72.791
Verbatim,0.827,0.58,7,-6.809,1,0.327,0.309,0,0.148,0.492,78.011
Come Through and Chill (feat. J. Cole & Salaam Remi),0.461,0.653,6,-8.617,1,0.327,0.158,0,0.197,0.588,81.628
R.I.C.O. (feat. Drake),0.727,0.599,1,-6.941,1,0.327,0.317,0,0.219,0.386,167.909
American Boy,0.727,0.729,0,-2.99,1,0.326,0.171,0,0.07,0.512,117.932
3005,0.472,0.448,6,-7.272,0,0.326,0.113,0,0.0914,0.636,166.077
777-666,0.544,0.802,10,-4.534,0,0.326,0.0534,0,0.139,0.322,179.924
