name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
that way,0.453,0.383,0,-11.015,1,0.163,0.728,0,0.387,0.333,105.029
Tombstone,0.55,0.637,8,-5.212,1,0.163,0.597,0,0.129,0.535,84.448
Another One Bites The Dust - Remastered 2011,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975
Genie In a Bottle,0.627,0.8,1,-6.945,1,0.162,0.21,0.000123,0.137,0.912,175.815
Ladders,0.802,0.463,8,-8.379,1,0.162,0.236,0.00531,0.105,0.291,103.961
Another One Bites The Dust - Remastered 2011,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024
"One, Two Step (feat. Missy Elliott)",0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046
Born This Way,0.587,0.828,11,-5.108,1,0.161,0.00327,0,0.331,0.494,123.907
Animal,0.718,0.805,6,-4.408,0,0.16,0.272,0.00248,0.127,0.697,179.978
Don't Stop Me Now - Remastered 2011,0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271
Glock In My Lap,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04E-05,0.151,0.202,130.029
Blood // Water,0.51,0.882,8,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029
Pon de Replay,0.779,0.64,7,-8.415,1,0.159,0.000155,0.00077,0.101,0.498,99.019
El Efecto,0.849,0.781,0,-4.635,0,0.159,0.406,0,0.0801,0.893,84.041
Work Bitch,0.629,0.824,9,-6.53,1,0.159,0.155,0.000628,0.0651,0.852,128.01
No Type,0.891,0.486,6,-7.803,1,0.159,0.0158,3.78E-06,0.0925,0.239,125.01
I Did Something Bad,0.696,0.602,0,-6.156,0,0.159,0.0679,2.11E-05,0.0696,0.305,82.989
Love To Hate Me,0.686,0.64,8,-5.491,1,0.159,0.0334,0,0.0801,0.597,162.225
Bloodstream,0.586,0.715,11,-5.962,0,0.159,0.013,1.15E-06,0.54,0.59,120.971
Say So,0.787,0.673,11,-4.577,0,0.158,0.256,3.57E-06,0.0904,0.786,110.962
Dandelion,0.8,0.66,0,-4.903,1,0.158,0.158,0.02,0.14,0.634,117.923
Feel This Moment (feat. Christina Aguilera),0.673,0.758,7,-3.632,1,0.158,0.039,0,0.341,0.542,135.956
Djadja (feat. Maluma) - Remix,0.791,0.682,5,-7.328,1,0.158,0.175,0,0.0926,0.672,98.031
Mode Akimbo (feat. Jul),0.875,0.848,11,-5.859,0,0.158,0.0717,0.000613,0.0828,0.577,122.983
TELL ME WHY,0.6,0.723,6,-4.928,0,0.158,0.109,0,0.167,0.463,149.881
Why Do You Lie To Me (feat. Lil Baby),0.65,0.738,4,-6.46,0,0.158,0.0539,0,0.206,0.336,119.827
Desce Pro Play (PA PA PA),0.935,0.71,11,-5.085,0,0.158,0.0769,1.92E-06,0.173,0.635,100.009
Ahora Dice,0.704,0.691,6,-5.414,1,0.158,0.255,0,0.129,0.427,143.982
Chica Ideal,0.574,0.891,0,-3.665,0,0.157,0.0847,0,0.16,0.707,100.978
Cruel Summer,0.552,0.702,9,-5.707,1,0.157,0.117,2.06E-05,0.105,0.564,169.994
紅蓮華,0.541,0.977,4,-2.828,0,0.157,0.00321,5.13E-05,0.0796,0.263,134.938
Bottoms Up (feat. Nicki Minaj),0.844,0.601,1,-5.283,1,0.157,0.0205,0,0.385,0.331,73.989
Outnumbered,0.614,0.684,0,-5.79,1,0.157,0.247,0,0.0976,0.258,156.85
Tattoo - Remix with Camilo,0.848,0.637,9,-5.132,1,0.156,0.0413,0,0.0521,0.698,96.988
Lean Wit Me,0.665,0.651,1,-5.515,1,0.156,0.0414,0,0.0896,0.237,163.935
Mama Cry,0.543,0.492,7,-7.432,1,0.156,0.0739,0,0.11,0.107,220.099
I Am (feat. Flo Milli),0.932,0.835,1,-3.905,1,0.156,0.105,0,0.0847,0.926,144.02
All To Me,0.523,0.543,5,-8.39,0,0.156,0.65,0,0.257,0.318,116.161
Party Rock Anthem,0.751,0.736,5,-4.168,0,0.156,0.0206,0,0.265,0.352,130.014
Turn Down for What,0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.057,0.0815,100.014
Broken Clocks,0.692,0.684,6,-7.364,1,0.155,0.131,0,0.156,0.406,112.912
Ex Bitch,0.835,0.462,7,-6.227,1,0.155,0.513,0,0.0875,0.702,78.99
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),0.872,0.814,0,-4.568,1,0.155,0.00485,1.96E-06,0.214,0.57,98.985
100,0.769,0.455,10,-5.698,0,0.155,0.554,2.07E-06,0.251,0.293,95.097
Ghostface Killers,0.782,0.436,2,-7.033,1,0.155,0.331,1.30E-05,0.342,0.243,82.994
Trust,0.764,0.394,8,-8.559,1,0.154,0.224,8.71E-05,0.119,0.471,92.011
La Luz,0.665,0.697,9,-4.819,0,0.154,0.427,1.39E-05,0.599,0.556,94.053
Candy Paint,0.664,0.667,4,-5.941,1,0.154,0.64,1.22E-06,0.0753,0.381,180.064
What's Love Got to Do with It,0.75,0.664,8,-5.908,0,0.154,0.275,0,0.0632,0.617,105.023
"Dance, Dance",0.622,0.961,11,-3.198,0,0.154,0.00523,0,0.0854,0.449,114.452
BICHOTA,0.864,0.658,1,-4.105,0,0.154,0.204,0.000626,0.105,0.865,163.922
Come Thru (with Usher),0.679,0.728,5,-3.092,0,0.154,0.159,0,0.107,0.46,152.001
Fournaise,0.787,0.506,4,-9.126,0,0.154,0.158,0.00032,0.0892,0.203,119.952
Caramelo - Remix,0.755,0.772,3,-4.539,0,0.154,0.0605,9.19E-05,0.223,0.586,168.062
No Guidance (feat. Drake),0.696,0.454,1,-6.756,0,0.153,0.123,0,0.155,0.136,92.928
Stronger,0.617,0.717,10,-7.858,0,0.153,0.00564,0,0.408,0.49,103.992
Despacito,0.655,0.797,2,-4.787,1,0.153,0.198,0,0.067,0.839,177.928
Flex (feat. Juice WRLD),0.752,0.673,10,-5.792,0,0.153,0.0538,0,0.133,0.35,164.009
Problem,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83E-06,0.159,0.625,103.008
紅蓮華,0.545,0.979,4,-2.8,0,0.153,0.00339,0.000118,0.0775,0.309,135.002
Quizas,0.727,0.815,3,-2.454,1,0.153,0.0258,0,0.231,0.677,176.075
Mírame - Remix,0.74,0.83,1,-3.243,1,0.153,0.119,1.32E-05,0.243,0.78,176.054
BICHOTA,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908
MONTERO (Call Me By Your Name),0.61,0.508,8,-6.682,0,0.152,0.297,0,0.384,0.758,178.818
Money,0.469,0.537,9,-10.421,1,0.152,0.0241,0.00201,0.269,0.783,124.193
Baila Baila Baila,0.837,0.626,11,-5.674,0,0.152,0.0588,0,0.252,0.592,99.987
Louder than bombs,0.643,0.667,0,-6.993,0,0.152,0.0433,0,0.0904,0.485,145.999
Overdose,0.845,0.493,1,-5.932,0,0.152,0.00907,0.206,0.105,0.431,90.048
Goodie Bag,0.739,0.522,7,-12.304,0,0.151,0.821,0.00124,0.233,0.619,138.263
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",0.596,0.73,9,-4.091,1,0.151,0.24,0,0.325,0.525,85.979
Spotlight,0.546,0.822,7,-4.483,1,0.151,0.0145,0,0.742,0.615,150.06
Tal Vez,0.855,0.649,8,-2.443,1,0.151,0.25,0,0.0801,0.741,161.986
Boredom (feat. Rex Orange County & Anna of the North),0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938
Taste (feat. Offset),0.866,0.613,0,-6.385,1,0.151,0.0293,0,0.104,0.359,98.001
The Drug In Me Is You,0.548,0.855,3,-3.266,1,0.151,0.0149,0,0.127,0.644,145.133
Moonlight Shawty,0.686,0.195,5,-15.136,1,0.151,0.841,0.00109,0.0816,0.129,105.99
Only Love,0.545,0.485,8,-9.941,1,0.151,0.3,0.00137,0.119,0.341,80.401
money machine,0.68,0.659,6,-7.186,1,0.151,0.229,0,0.474,0.75,98.877
Tú Me Dejaste De Querer,0.812,0.747,4,-4.611,0,0.15,0.31,0.00412,0.1,0.488,168.025
Heartless,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01E-06,0.156,0.252,170.062
Around the World,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294
Nights Like This (feat. Ty Dolla $ign),0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163
Wein für mich,0.688,0.683,6,-7.454,0,0.15,0.027,0,0.368,0.817,120.01
Kacey Talk,0.877,0.607,10,-7.818,0,0.15,0.535,0,0.138,0.773,127.055
Straight Outta Compton,0.834,0.878,8,-9.484,1,0.15,0.0461,0,0.334,0.418,102.848
In My Mind,0.694,0.77,6,-5.335,1,0.149,0.176,1.10E-05,0.118,0.163,125.905
Tú,0.805,0.744,5,-5.627,0,0.149,0.258,1.40E-05,0.277,0.825,123.999
tystnar i luren,0.463,0.616,7,-7.166,1,0.149,0.55,0,0.446,0.695,183.76
Destino o casualidad,0.557,0.525,2,-6.324,1,0.149,0.524,0,0.113,0.362,153.247
Hidden In the Sand,0.547,0.287,6,-12.28,1,0.149,0.514,0.774,0.119,0.177,120.792
Life Goes On,0.716,0.541,1,-7.909,1,0.149,0.0021,0,0.115,0.387,139.978
ROXANNE,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735
512,0.818,0.673,4,-7.542,0,0.148,0.348,0,0.172,0.695,87.961
Josslyn,0.425,0.743,11,-5.54,0,0.148,0.012,0,0.709,0.344,84.748
It's A Vibe,0.822,0.502,7,-7.38,1,0.148,0.0312,0.000887,0.114,0.525,73.003
Hot Stuff,0.681,0.773,5,-5.749,1,0.148,0.019,1.28E-06,0.11,0.429,119.961
Let Her Go,0.763,0.542,3,-6.753,0,0.148,0.639,0,0.113,0.504,142.031
Don't Call Me Up,0.674,0.881,9,-2.853,1,0.147,0.296,3.01E-06,0.0793,0.234,98.994
CHICKEN TENDIES,0.57,0.689,7,-6.242,1,0.147,0.358,0,0.0819,0.568,100.087
The London (feat. J. Cole & Travis Scott),0.796,0.586,4,-6.946,0,0.147,0.0247,0,0.132,0.179,97.981
The Way You Make Me Feel - 2012 Remaster,0.877,0.854,1,-4.523,1,0.147,0.0544,5.50E-05,0.144,0.54,114.472
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",0.639,0.869,11,-4.024,1,0.147,0.27,0,0.0802,0.767,169.801
Power Over Me,0.319,0.841,9,-4.232,0,0.147,0.0518,0,0.106,0.483,173.868
Kingslayer (feat. BABYMETAL),0.434,0.929,1,-2.749,1,0.147,0.000207,0.00109,0.0916,0.428,92.541
Fuck Love,0.778,0.471,7,-9.768,1,0.147,0.101,0,0.0991,0.214,80.029
On Top Of The World,0.631,0.924,0,-5.589,1,0.146,0.0841,3.59E-06,0.084,0.755,100.045
Bad Things (with Camila Cabello),0.697,0.691,2,-4.757,1,0.146,0.214,0,0.185,0.305,137.853
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",0.632,0.701,7,-5.921,1,0.146,0.0114,0,0.108,0.497,162.958
SAD!,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023
Go Crazy,0.755,0.578,0,-8.932,0,0.145,0.316,0,0.25,0.581,94.148
Chill Bill (feat. J. Davi$ & Spooks),0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034
Otra Baby,0.714,0.522,1,-4.715,1,0.145,0.312,0.000118,0.053,0.587,179.931
beibs in the trap,0.743,0.571,7,-6.054,0,0.145,0.24,0,0.291,0.495,119.054
"Harder, Better, Faster, Stronger",0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.475
Trip,0.477,0.61,11,-5.628,0,0.144,0.225,0,0.107,0.358,79.882
4K,0.925,0.9,3,-4.361,0,0.144,0.357,0.00595,0.124,0.804,120.031
Último Beijo,0.582,0.899,5,-3.531,1,0.143,0.528,0,0.247,0.612,156.621
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),0.766,0.873,11,-6.381,0,0.143,0.00627,0,0.0764,0.743,126.988
6 For 6,0.855,0.792,2,-4.949,1,0.143,0.552,0,0.17,0.623,142.965
Run the World (Girls),0.733,0.899,0,-4.237,1,0.143,0.00496,4.72E-05,0.372,0.76,127.086
Plug Walk,0.876,0.519,11,-6.531,1,0.143,0.202,0,0.108,0.158,94.981
HIP,0.782,0.731,3,-4.581,0,0.143,0.0376,3.15E-05,0.0956,0.824,138.032
Buenos Genes,0.804,0.535,4,-8.603,0,0.143,0.486,0,0.108,0.628,151.957
TiK ToK,0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028
Money Longer,0.795,0.568,5,-7.817,0,0.142,0.0541,0,0.108,0.478,136.173
Fat Lip,0.402,0.914,9,-5.215,1,0.142,0.000579,0,0.065,0.626,196.505
Superclassico,0.623,0.663,11,-6.458,1,0.142,0.0624,4.49E-06,0.0922,0.346,149.91
IV. Sweatpants,0.71,0.47,1,-9.33,0,0.142,0.154,0,0.643,0.581,80.027
"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)",0.841,0.733,1,-5.077,1,0.142,0.0246,0,0.174,0.284,130.009
Back to You (feat. Bebe Rexha & Digital Farm Animals),0.683,0.53,5,-4.918,0,0.142,0.207,0,0.394,0.645,75.016
Jockey,0.598,0.556,7,-4.299,1,0.142,0.0979,0.000933,0.131,0.552,170.057
Stressed Out,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29E-05,0.0602,0.648,169.977
El Tóxico,0.626,0.503,10,-5.087,1,0.141,0.407,0,0.234,0.821,72.985
Rock Your Body,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972
Mystery Lady (feat. Don Toliver),0.747,0.494,3,-7.957,0,0.141,0.393,0,0.0982,0.624,76.006
Dile,0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001
All My Friends (feat. Tinashe & Chance the Rapper),0.681,0.521,0,-5.849,1,0.141,0.12,8.41E-05,0.108,0.181,94.997
Maze,0.674,0.726,11,-3.813,0,0.141,0.126,1.56E-06,0.115,0.443,160.067
Dilemma,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189
Good Time,0.56,0.872,3,-4.269,1,0.14,0.0239,6.98E-06,0.371,0.682,126.05
B.Y.O.B.,0.538,0.981,1,-2.688,0,0.14,0.00662,0,0.219,0.711,101.414
I Write Sins Not Tragedies,0.569,0.83,9,-4.106,0,0.14,0.0807,0,0.114,0.609,170.094
She Don't Give a Fo,0.854,0.556,1,-4.49,1,0.14,0.345,0,0.165,0.342,119.938
Leave Some Day,0.417,0.729,6,-3.445,0,0.14,0.0146,0,0.122,0.407,110.499
I Write Sins Not Tragedies,0.566,0.815,9,-4.481,0,0.14,0.0737,0,0.12,0.672,169.961
Stockholm Syndrome,0.678,0.933,2,-4.959,1,0.14,0.0734,0,0.0863,0.336,120.572
What If (I Told You I Like You),0.735,0.584,1,-5.047,1,0.14,0.189,0,0.125,0.395,93.016
Killing Me Softly With His Song,0.765,0.29,4,-17.117,0,0.139,0.0279,0,0.571,0.506,92.409
Caramelo - Remix,0.754,0.796,3,-3.743,0,0.139,0.062,8.60E-05,0.204,0.62,168.045
Hallucinate,0.627,0.69,10,-5.396,0,0.139,0.033,0,0.0742,0.627,122.053
Say It Right,0.872,0.872,1,-6.328,1,0.139,0.0476,0.00112,0.0543,0.809,116.948
Bounce Back,0.78,0.575,1,-5.628,0,0.139,0.106,0,0.129,0.273,81.502
nasty,0.772,0.506,6,-6.558,0,0.139,0.0814,1.10E-05,0.182,0.456,127.894
Gettin' Jiggy Wit It,0.881,0.874,6,-4.505,1,0.139,0.0175,1.14E-06,0.154,0.858,107.891
No Se Me Quita (feat. Ricky Martin),0.864,0.869,7,-2.963,1,0.139,0.146,0,0.063,0.853,99.988
Losin Control,0.759,0.245,6,-6.545,1,0.138,0.515,0.000154,0.102,0.209,96.992
Tommy Lee (feat. Post Malone),0.457,0.621,10,-5.923,1,0.138,0.218,0,0.0944,0.634,85.359
Saved,0.739,0.448,10,-10.28,0,0.138,0.189,0,0.118,0.553,81.044
Baby,0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043
"Young, Wild & Free (feat. Bruno Mars)",0.715,0.655,0,-6.425,1,0.137,0.0525,0,0.115,0.531,95.078
It's Tricky,0.956,0.72,11,-13.476,0,0.137,0.000844,0,0.0597,0.961,127.872
Kiss and Make Up,0.678,0.729,8,-4.188,1,0.137,0.0658,0,0.303,0.643,99.895
Blood // Water,0.504,0.891,6,-5.632,0,0.137,0.00163,0.00199,0.148,0.628,153.988
Tô Preocupada (Calma Amiga) (feat. Anitta),0.895,0.671,7,-3.126,1,0.137,0.243,3.57E-06,0.0768,0.905,84.956
This Is America,0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120.024
Boys Ain't Shit,0.826,0.615,1,-4.729,0,0.137,0.435,0.00631,0.334,0.841,102.999
The Passenger (LaLaLa) [feat. MOKABY],0.673,0.771,0,-6.178,0,0.137,0.0609,0.000277,0.209,0.687,125.061
El Borracho,0.612,0.672,7,-4.072,1,0.137,0.686,0,0.186,0.751,91.21
Sing For The Moment,0.668,0.824,5,-4.164,0,0.137,0.0017,3.05E-06,0.0426,0.185,163.961
Kream (feat. Tyga),0.785,0.425,10,-6.665,1,0.137,0.0335,4.36E-06,0.108,0.192,174.028
Magic,0.647,0.706,6,-6.023,0,0.137,0.264,0,0.114,0.577,153.973
Best Friend (feat. Doja Cat),0.84,0.766,4,-4.12,1,0.136,0.00302,3.61E-06,0.0684,0.402,94.018
La Curiosidad,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013
Tyler Herro,0.794,0.756,5,-7.16,0,0.136,0.11,0,0.247,0.775,123.066
Heartless,0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999
It Was A Good Day,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356
Come Get Her,0.689,0.564,2,-6.226,1,0.136,0.187,0,0.0721,0.123,185.023
Mon poto - Extrait de la BO de « En Passant Pécho »,0.743,0.622,4,-5.332,0,0.136,0.904,1.66E-05,0.143,0.317,140.054
...Ready For It?,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015
Sixteen,0.669,0.801,8,-5.445,1,0.136,0.268,0,0.0594,0.541,109.919
"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",0.819,0.654,11,-6.665,0,0.136,0.517,0,0.0996,0.455,133.503
death bed (coffee for your head),0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026
Cover Me In Sunshine,0.476,0.594,5,-6.879,1,0.135,0.0599,0,0.0785,0.314,159.702
Wasted Love (feat. Lagique),0.734,0.855,6,-4.578,0,0.135,0.0821,4.73E-06,0.0901,0.54,121.955
Stay High,0.745,0.5,8,-6.184,1,0.135,0.439,0,0.0943,0.433,76.968
Forever,0.613,0.339,5,-14.908,0,0.135,0.678,0,0.166,0.292,106.582
Perreo Pesau',0.732,0.679,3,-3.068,0,0.135,0.195,5.20E-06,0.651,0.443,171.887
Ace of Spades,0.329,0.974,3,-8.77,0,0.135,0.000852,0.000118,0.0904,0.234,140.862
Need Me,0.815,0.567,10,-4.653,0,0.135,0.156,0,0.0884,0.732,95.034
Gassed Up,0.798,0.568,5,-9.072,0,0.135,0.0213,0,0.0586,0.45,148.88
Um Sabadão Desse Uma Lua Dessa,0.921,0.83,5,-1.361,1,0.135,0.584,3.17E-05,0.0522,0.596,133.089
Gorgeous,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48E-06,0.213,0.451,92.027
Downtown,0.775,0.679,4,-4.985,0,0.135,0.18,7.26E-05,0.068,0.619,166.008
Laugh Now Cry Later (feat. Lil Durk),0.761,0.518,0,-8.871,1,0.134,0.244,3.47E-05,0.107,0.522,133.976
Film out,0.499,0.709,10,-6.404,1,0.134,0.296,0,0.331,0.314,164.032
Umbrella,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028
We Don't Talk Anymore (feat. Selena Gomez),0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017
This Could Be Us,0.732,0.69,0,-4.992,0,0.134,0.291,0,0.116,0.758,143.072
La Bicicleta,0.745,0.944,0,-3.959,1,0.134,0.21,1.45E-06,0.333,0.951,179.991
VIVID VICE,0.475,0.942,5,-4.348,1,0.134,0.0154,0,0.0902,0.303,92.094
No Promises (feat. Demi Lovato),0.741,0.667,10,-5.445,1,0.134,0.0575,0,0.106,0.595,112.956
Everybody Dies In Their Nightmares,0.734,0.57,7,-7.066,0,0.133,0.847,2.14E-05,0.112,0.689,129.953
Highway to Hell,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728
Daisy,0.834,0.663,8,-6.143,1,0.133,0.235,0,0.372,0.774,121.876
One More Time,0.611,0.697,2,-8.618,1,0.133,0.0193,0,0.332,0.476,122.752
YEAH RIGHT,0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033
Smile (with The Weeknd),0.694,0.685,6,-6.535,0,0.133,0.224,0,0.124,0.306,158.831
Flaming Hot Cheetos,0.817,0.551,7,-9.33,0,0.133,0.865,0.000151,0.101,0.142,109.966
Real Shit (with benny blanco),0.703,0.703,1,-4.672,1,0.133,0.605,0,0.12,0.697,76.017
Daisy,0.834,0.663,8,-6.143,1,0.133,0.235,0,0.372,0.774,121.876
Sensitive,0.601,0.649,7,-6.979,1,0.133,0.166,3.35E-05,0.165,0.351,89.73
Emotionally Scarred,0.585,0.641,6,-4.269,0,0.133,0.0286,0,0.316,0.266,88.284
Declaração pro Bar - Ao Vivo,0.679,0.767,2,-5.058,0,0.133,0.69,0,0.805,0.603,112.901
Te Ire A Buscar,0.684,0.58,4,-7.682,0,0.133,0.672,0,0.135,0.233,89.954
La Playa - Remix,0.775,0.633,10,-3.332,0,0.133,0.201,0,0.219,0.394,140.008
If You Want Love,0.551,0.386,0,-10.22,1,0.132,0.659,0,0.125,0.245,116.409
Dis-ease,0.731,0.845,8,-5.352,1,0.132,0.0132,0,0.0782,0.484,101.085
Crew (feat. Brent Faiyaz & Shy Glizzy),0.728,0.607,1,-8.417,0,0.132,0.133,0,0.0864,0.445,129.938
Felices los 4,0.766,0.756,5,-5.861,1,0.132,0.213,0,0.349,0.716,94.027
Tia Tamera (feat. Rico Nasty),0.822,0.654,0,-4.623,1,0.132,0.019,0,0.233,0.421,119.884
Alien Boy,0.792,0.576,1,-7.046,1,0.132,0.0597,0,0.186,0.52,130.135
She Looks So Perfect,0.494,0.951,9,-4.237,1,0.132,0.000569,0,0.327,0.441,160.025
The Loser,0.748,0.297,1,-10.613,1,0.132,0.485,0.27,0.138,0.114,123.983
She Looks So Perfect,0.494,0.951,9,-4.237,1,0.132,0.000569,0,0.327,0.441,160.025
猫 〜THE FIRST TAKE ver.〜,0.635,0.578,8,-6.749,1,0.132,0.539,0,0.115,0.584,77.065
Toda Remix - Remix,0.512,0.451,5,-7.222,0,0.131,0.161,0,0.0672,0.368,80.04
Not Shy,0.776,0.911,2,-3.08,0,0.131,0.155,2.59E-06,0.268,0.56,101.027
Phases,0.77,0.636,11,-6.724,0,0.131,0.169,0,0.0676,0.492,105.93
All the Smoke (feat. Gunna & Wiz Khalifa),0.712,0.822,6,-3.728,0,0.131,0.0321,0,0.239,0.469,91.011
7AM,0.638,0.526,7,-8.401,1,0.131,0.275,0,0.462,0.301,139.054
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64
Juju Juju,0.878,0.798,11,-5.694,0,0.13,0.0527,0.19,0.0917,0.797,120.029
Lost (feat. TOPIC42),0.658,0.843,10,-2.912,0,0.13,0.0475,1.87E-05,0.136,0.339,93.23
Break Stuff,0.432,0.884,8,-6.659,1,0.13,0.0127,0.000527,0.166,0.624,108.948
Dance with Me (feat. Thomas Rhett & Young Thug),0.73,0.792,6,-5.33,0,0.13,0.0264,0,0.101,0.745,99.039
Andas En Mi Cabeza,0.671,0.954,9,-1.87,1,0.13,0.0244,0,0.111,0.556,104.114
Feels Like Summer,0.554,0.596,7,-8.214,1,0.13,0.162,0.00482,0.0805,0.255,165.728
Ma' G,0.911,0.669,1,-6.701,1,0.13,0.0319,0.0005,0.125,0.673,136.989
Me and Julio Down by the Schoolyard,0.626,0.816,9,-10.593,1,0.13,0.237,1.80E-06,0.104,0.798,105.33
If the World Was Ending - feat. Julia Michaels,0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801
I Like It,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048
Fight Song,0.564,0.714,7,-4.987,1,0.129,0.0549,0,0.155,0.33,175.924
Gamora,0.628,0.729,10,-5.313,0,0.129,0.094,0,0.0695,0.878,174.792
Love$ick (feat. A$AP Rocky),0.625,0.763,8,-4.997,0,0.129,0.147,0.0106,0.214,0.721,88.753
Scars To Your Beautiful,0.573,0.739,0,-5.74,1,0.129,0.0285,0,0.111,0.451,97.085
Not Allowed,0.67,0.905,1,-6.855,1,0.129,0.671,0.000227,0.349,0.562,104.965
survivin',0.787,0.78,7,-5.023,1,0.129,0.25,0,0.0908,0.68,95.035
I Mean It (feat. Remo),0.712,0.562,10,-6.008,1,0.129,0.125,0,0.136,0.142,140
pick up the phone,0.711,0.739,7,-3.804,0,0.129,0.114,0,0.226,0.43,136.919
Never Too Much,0.734,0.586,2,-11.866,1,0.129,0.125,0,0.0367,0.762,109.933
They Don't Care About Us,0.859,0.905,0,-5.539,0,0.129,0.205,0.00837,0.322,0.731,89.946
Run It! (feat. Juelz Santana),0.846,0.482,1,-6.721,0,0.129,0.0246,0,0.393,0.212,100.969
No Me Acostumbro,0.701,0.8,9,-2.904,1,0.129,0.381,0,0.13,0.706,180.057
Believer,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949
Wishing Well,0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972
Pulei na Piscina - Ao Vivo,0.652,0.773,3,-5.203,1,0.128,0.449,0,0.166,0.527,113.788
Letícia,0.615,0.907,6,-1.873,0,0.128,0.622,0,0.0913,0.725,152.093
Trap Queen,0.746,0.873,7,-3.803,1,0.128,0.0244,0,0.354,0.817,148.075
Liability,0.587,0.229,10,-11.254,0,0.128,0.92,0,0.1,0.379,75.67
UGH!,0.72,0.824,10,-5.086,0,0.128,0.0394,0,0.0509,0.333,165.998
Come Alive,0.702,0.77,7,-9.411,1,0.128,0.00558,0.000802,0.211,0.235,118.034
Sanctuary,0.552,0.65,1,-7.199,1,0.128,0.422,0.000275,0.372,0.316,167.788
Old Town Road,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23E-06,0.101,0.507,135.998
Pure Water (with Migos),0.682,0.559,0,-5.545,1,0.127,0.174,0,0.344,0.137,202.015
Rude Boy,0.563,0.75,11,-4.496,1,0.127,0.113,0,0.0788,0.812,173.906
Safe With Me (with Audrey Mika),0.497,0.757,11,-4.189,1,0.127,0.0449,0,0.119,0.507,169.902
Getaway Car,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23E-06,0.0888,0.351,172.054
